,win,one1,one2,one3,one4,one5,two1,two2,two3,two4,two5
47,0,Swain,Elise,Lux,Draven,Morgana,Shyvana,Vi,Sett,Ezreal,Sona
48,1,Illaoi,Zed,Graves,Xayah,Yuumi,Urgot,Shyvana,Yasuo,MissFortune,Brand
49,0,Ornn,Talon,Akshan,Veigar,Alistar,Gangplank,Graves,Sylas,Samira,Leona
50,1,Trundle,Lillia,MissFortune,Twitch,Swain,Urgot,Kayn,Sylas,Lucian,Nami
51,1,Rengar,Kayle,Zed,MissFortune,Zoe,Gangplank,Zac,Ziggs,Ezreal,Brand
52,1,Rengar,Ivern,Veigar,Ashe,Pyke,Kayle,Poppy,Yasuo,Vayne,Zilean
53,1,Mordekaiser,Karthus,Gangplank,Jhin,Zilean,Gwen,LeeSin,Zed,Samira,Nami
54,0,Gangplank,Trundle,Anivia,Tristana,Senna,Jayce,Ekko,Akshan,Ashe,Alistar
55,1,Gwen,Trundle,Talon,Lucian,Nami,Sion,Taliyah,Fizz,Kaisa,Nautilus
56,1,Mordekaiser,Warwick,Ahri,Lucian,Senna,Malphite,Khazix,AurelionSol,Ashe,Xerath
57,0,Bard,Nunu,Kayle,Jinx,Pantheon,DrMundo,Volibear,Yasuo,Tristana,Lulu
58,0,Yone,Diana,Yasuo,Kennen,Rell,Sion,Volibear,Gangplank,Zeri,Karma
59,1,Gangplank,MonkeyKing,Veigar,Jhin,Brand,Sion,Viego,Sylas,Tristana,Yuumi
60,1,Maokai,Kayn,Neeko,Nasus,Senna,Aatrox,MonkeyKing,Veigar,Tristana,Nami
61,0,Irelia,Kayn,Fizz,Vayne,Thresh,Ornn,Zac,Swain,Tristana,Sona
62,1,Trundle,Evelynn,Zed,Jhin,Janna,Renekton,MasterYi,Kayle,Lucian,Nautilus
63,0,Yasuo,FiddleSticks,Gangplank,Kalista,Nautilus,Ornn,Kindred,Lux,Sivir,Renata
64,1,Sion,Elise,Ashe,Jhin,Lux,Camille,Volibear,Diana,Tristana,Nami
65,1,Sett,MonkeyKing,Akshan,Twitch,Lux,Irelia,Nocturne,Ryze,Ezreal,Brand
66,1,Mordekaiser,Diana,Yasuo,Jinx,Nautilus,Vayne,Darius,Fizz,Kaisa,Zilean
67,1,Darius,Vi,Kayle,Vayne,Senna,Garen,Lillia,Lissandra,Jhin,Leona
68,1,Riven,Warwick,Swain,Jinx,Karma,Poppy,Zac,Irelia,Kaisa,Sona
69,0,Gangplank,Shyvana,Zoe,Vayne,Senna,Teemo,Mordekaiser,Lucian,Kaisa,Bard
70,0,Gangplank,Sejuani,Kayle,Kaisa,Renata,Aatrox,Diana,XinZhao,Zeri,Soraka
71,0,Nasus,Olaf,Morgana,Caitlyn,Ashe,Garen,Ekko,Sylas,Twitch,Brand
72,1,Ornn,LeeSin,Seraphine,Jinx,Nautilus,Jayce,Diana,Qiyana,Vayne,Malphite
73,1,Pantheon,Olaf,Vladimir,Vayne,Nautilus,Garen,Amumu,Malzahar,Lucian,Thresh
74,1,Azir,Tryndamere,Ahri,Kalista,Renata,Sett,Lillia,Garen,Vayne,Swain
75,0,Ornn,Graves,Ekko,Kaisa,Pyke,Fiora,Rengar,Taliyah,Jinx,Senna
76,1,Nasus,Vi,Diana,Draven,Sylas,Aatrox,Evelynn,Vladimir,Jhin,Xerath
77,1,Volibear,Viego,Garen,Kalista,Nautilus,Darius,LeeSin,Pyke,Twitch,Lux
78,1,Camille,Vayne,Morgana,Ashe,Thresh,Illaoi,Trundle,Fizz,Varus,Seraphine
79,0,Sion,Zac,Qiyana,Caitlyn,Teemo,Yone,LeeSin,Xerath,Lucian,Karma
80,1,Vladimir,MonkeyKing,Gangplank,Sivir,Nautilus,Fiora,Taliyah,Jayce,Kaisa,Yuumi
81,0,Yorick,Volibear,Renekton,Tristana,Zyra,Darius,Udyr,Velkoz,Yasuo,Senna
82,0,Singed,Kindred,Yasuo,Samira,Yuumi,Aatrox,Nunu,Akali,Aphelios,Nautilus
83,1,Yorick,Ekko,Xerath,Vayne,Lux,Teemo,MonkeyKing,Viktor,Kalista,Rell
84,1,Sett,LeeSin,Syndra,Jhin,Nami,Fiora,RekSai,Yone,Ziggs,Veigar
85,0,Udyr,Ivern,Vladimir,Jhin,Brand,Trundle,Vi,AurelionSol,Ashe,Sona
86,0,Tryndamere,MasterYi,Sylas,Jinx,Thresh,Mordekaiser,LeeSin,Yone,Ezreal,Senna
87,1,Vex,Volibear,Sylas,Kaisa,Senna,Vayne,Amumu,Ezreal,MissFortune,Leona
88,0,Nasus,Kayn,Veigar,Caitlyn,Senna,Mordekaiser,Poppy,Lissandra,Vayne,Nami
89,0,Gangplank,Lillia,Qiyana,Swain,Senna,Irelia,Shaco,Viktor,Vayne,FiddleSticks
90,0,Yone,Jax,Leblanc,MissFortune,Zac,Illaoi,Rengar,Ryze,Jhin,Sylas
91,0,Irelia,Ivern,Zoe,Caitlyn,Brand,Singed,Nocturne,Taliyah,Kaisa,Bard
92,0,Darius,Diana,Veigar,Xayah,Twitch,Aatrox,Khazix,Chogath,Kaisa,Zyra
93,0,Gangplank,Zac,Zed,Jinx,Lulu,Mordekaiser,Vayne,Lissandra,Amumu,Janna
94,1,Sylas,Amumu,Zilean,Tristana,Yuumi,Gangplank,Nocturne,Brand,Draven,Shaco
95,1,Gangplank,Poppy,Katarina,Jinx,Zyra,Teemo,Volibear,TwistedFate,Kaisa,Leona
96,0,Nasus,FiddleSticks,Viktor,Caitlyn,Blitzcrank,Urgot,Amumu,Malzahar,Lucian,Nami
97,0,Yorick,MonkeyKing,Fizz,Senna,Pyke,Gangplank,Amumu,Ahri,Draven,Xerath
98,0,Chogath,Olaf,Ahri,Tristana,Senna,Ornn,Shaco,Brand,Sivir,Nautilus
99,0,Gwen,Nocturne,Yone,Veigar,Ziggs,Aatrox,Khazix,Corki,Lucian,Nami
100,0,Gangplank,Viego,Brand,Ezreal,Morgana,Mordekaiser,FiddleSticks,Twitch,Kaisa,Nautilus
101,0,Rengar,Taliyah,Lissandra,Xayah,Swain,Aatrox,RekSai,Fizz,Samira,Alistar
102,1,Teemo,Vi,Ahri,Jinx,Nami,Soraka,Rammus,Malzahar,Twitch,Yuumi
103,0,Jax,Diana,Irelia,Vayne,Yuumi,Olaf,MasterYi,Taliyah,Jinx,Braum
104,1,Mordekaiser,Kindred,Irelia,Kaisa,Blitzcrank,Tryndamere,Hecarim,Malzahar,Lucian,Xerath
105,0,Gnar,Viego,Pantheon,Leona,Twitch,Chogath,Evelynn,TwistedFate,Kaisa,Morgana
106,0,Chogath,Lillia,Irelia,Aphelios,Rakan,Yorick,Talon,Veigar,Vayne,Morgana
107,0,Pantheon,Hecarim,Ryze,Lucian,Nami,Shen,Trundle,Syndra,Kalista,Pyke
108,0,Neeko,Udyr,Akali,MissFortune,Twitch,Sett,Rengar,Irelia,Kaisa,Lulu
109,0,Sett,JarvanIV,Morgana,Jhin,Rakan,Camille,Ekko,Syndra,Kaisa,Braum
110,0,Gnar,Pantheon,Xerath,Lux,Ashe,Viego,MasterYi,Neeko,MissFortune,Zyra
111,0,Garen,Kayn,Syndra,Lucian,Pyke,Jax,MonkeyKing,Taliyah,Kaisa,Yuumi
112,1,Yorick,Talon,Katarina,Vayne,Brand,Sett,Evelynn,Orianna,Ezreal,Thresh
113,1,Yorick,Graves,Lux,Tristana,Brand,Kayle,Rengar,Akshan,Ezreal,Nami
114,0,Yorick,MonkeyKing,Fizz,Twitch,Nautilus,Gangplank,JarvanIV,Zed,Ezreal,Nami
115,0,Olaf,Graves,Vladimir,Caitlyn,Lulu,Yorick,Kayn,Malzahar,Samira,Alistar
116,0,Darius,Vi,Ekko,Kaisa,Neeko,Garen,Singed,Veigar,Jhin,Swain
117,1,Garen,Olaf,TwistedFate,Jhin,Brand,Malzahar,JarvanIV,Xerath,Samira,Nautilus
118,1,Kayle,Mordekaiser,JarvanIV,Caitlyn,Nautilus,Fiora,Diana,Ahri,Tristana,Soraka
119,0,Urgot,Ekko,Fizz,Samira,Renata,MonkeyKing,Zac,Tristana,Ashe,Alistar
120,1,Gwen,Qiyana,Aatrox,Kled,Yuumi,Olaf,LeeSin,Akali,Jhin,Nami
121,0,Sett,MasterYi,Chogath,MissFortune,Rakan,Sion,Viego,Lux,Jhin,Zyra
122,0,Nasus,Ivern,Syndra,Xayah,MissFortune,Urgot,Diana,Fizz,Lucian,Nami
123,1,Aatrox,Karthus,Viego,Varus,Brand,Cassiopeia,Warwick,Yone,Jhin,Thresh
124,0,Olaf,JarvanIV,Fizz,Vayne,Blitzcrank,Garen,Vi,Akshan,Tristana,Nami
125,0,Illaoi,Shaco,Morgana,KogMaw,Brand,Nasus,RekSai,Lux,MissFortune,Zyra
126,1,Sion,Kayn,Camille,Tristana,Zyra,Fiora,Olaf,Velkoz,Kaisa,Brand
127,0,Volibear,Vi,Xerath,Jhin,Veigar,Irelia,Morgana,Ekko,Draven,Senna
128,0,Sett,Graves,Katarina,Ashe,Renata,Malzahar,MasterYi,Zoe,Jinx,Zilean
129,0,Urgot,LeeSin,Ahri,Ezreal,Shaco,Tryndamere,Diana,Zoe,Kaisa,Blitzcrank
130,0,Urgot,Evelynn,Kassadin,Jhin,Xerath,MonkeyKing,Graves,Ahri,Lucian,Nami
131,1,Kennen,Chogath,Viego,MissFortune,Nautilus,Yorick,Warwick,Yone,Kaisa,Nidalee
132,0,Garen,Viego,Viktor,Ezreal,TahmKench,Yorick,Volibear,Vex,MissFortune,Senna
133,0,Jax,Rammus,Ryze,Twitch,Blitzcrank,Darius,Lillia,Viktor,Vayne,Morgana
134,1,Ezreal,Olaf,Vladimir,Lucian,Karma,Gangplank,Mordekaiser,Ahri,MissFortune,Sona
135,1,Jayce,RekSai,Kayle,Yone,Karma,Singed,LeeSin,Yasuo,Tristana,Janna
136,1,Mordekaiser,Graves,Ezreal,Vayne,Soraka,Garen,Rengar,Sion,Jhin,Morgana
137,1,Volibear,Graves,Yasuo,Ezreal,Alistar,Malphite,Vi,Gangplank,Kaisa,Senna
138,1,Jax,MasterYi,Tristana,Ziggs,Swain,Shen,Shaco,Lux,MissFortune,Yuumi
139,1,Gangplank,Poppy,Sylas,MissFortune,Swain,Nocturne,FiddleSticks,Xerath,Lucian,Nami
140,1,DrMundo,Diana,Maokai,MissFortune,Leona,Irelia,Ivern,Kayle,Jinx,Seraphine
141,1,Malphite,Vi,Yasuo,Jhin,Morgana,Quinn,Kayn,Yone,Blitzcrank,Samira
142,1,Warwick,Sona,Gragas,Vayne,Elise,Udyr,Camille,Katarina,Jinx,Nami
143,0,Singed,Trundle,Pyke,Ezreal,Lux,Darius,Amumu,Orianna,Caitlyn,Leona
144,1,Heimerdinger,Volibear,MonkeyKing,Draven,Nautilus,Jayce,Viego,Ryze,Jhin,Zyra
145,0,Nasus,Kayn,Malzahar,Varus,Yuumi,Shyvana,Nocturne,Zoe,Caitlyn,Morgana
146,1,Teemo,Hecarim,Velkoz,Vayne,Rell,Riven,Sejuani,FiddleSticks,Caitlyn,Morgana
147,0,Sett,Lillia,Neeko,Vayne,Braum,Darius,MasterYi,Sylas,Lucian,Sona
148,1,Trundle,Rengar,Ekko,Kaisa,Soraka,DrMundo,XinZhao,Katarina,Twitch,Senna
149,0,Ornn,Qiyana,Viktor,Ezreal,Velkoz,Camille,Karthus,Anivia,MissFortune,Senna
150,1,Kayle,MonkeyKing,Akshan,Lucian,Nami,Olaf,Kindred,Zed,Ryze,Jax
151,1,Kayle,Diana,Katarina,Lucian,Morgana,Jayce,Elise,Varus,Caitlyn,Xerath
152,1,Gangplank,Shaco,Zoe,Ashe,Trundle,Renekton,MasterYi,Kayle,KogMaw,Lulu
153,1,Mordekaiser,MasterYi,Heimerdinger,Draven,Sona,Olaf,Diana,Katarina,Aphelios,Thresh
154,0,Graves,Khazix,Ahri,Jhin,Yuumi,Nasus,Ekko,Anivia,Caitlyn,Lulu
155,0,Garen,Rumble,Caitlyn,Tristana,Pantheon,Rengar,Graves,Orianna,Varus,Brand
156,1,Garen,Nunu,Anivia,MissFortune,Brand,Mordekaiser,Shaco,Zed,Ashe,Blitzcrank
157,0,Shen,LeeSin,Vladimir,Vayne,Lulu,Aatrox,Warwick,Zoe,Jhin,Senna
158,1,Camille,Kayn,Malzahar,Ezreal,Renata,Gwen,RekSai,Zed,Vayne,Nami
159,0,DrMundo,Qiyana,Fizz,Ashe,Morgana,Darius,Evelynn,Yasuo,Xayah,Twitch
160,1,MonkeyKing,Viego,Malzahar,MissFortune,Lulu,Aatrox,Shyvana,KogMaw,Vayne,Sona
161,1,Tryndamere,MonkeyKing,Ryze,Vayne,Janna,Riven,Trundle,Veigar,Samira,Braum
162,0,Ornn,Talon,Ahri,Lucian,Pyke,Urgot,Kindred,Akali,Vayne,Nami
163,1,Kayle,Darius,Orianna,MissFortune,Senna,Urgot,Olaf,Xerath,Ashe,Neeko
164,0,Chogath,Graves,Anivia,Kaisa,Zilean,Shyvana,LeeSin,Veigar,Cassiopeia,Taric
165,0,Riven,Olaf,Lux,Jinx,Thresh,Malphite,Khazix,Akali,Kaisa,Morgana
166,1,Sion,Viego,Jayce,Tristana,Xerath,Shyvana,Mordekaiser,Irelia,Jinx,Thresh
167,0,Sett,Olaf,Viktor,Ezreal,Karma,DrMundo,Lillia,Lux,KogMaw,Lulu
168,0,DrMundo,Trundle,Velkoz,Kaisa,Swain,Jax,MasterYi,Garen,Caitlyn,Morgana
169,0,Gnar,Shaco,Ahri,Leblanc,Brand,Darius,RekSai,Swain,Kaisa,Renata
170,0,Gwen,Nocturne,Zoe,Kaisa,Rakan,Kayle,Olaf,Malzahar,Jinx,Veigar
171,1,Aatrox,Rengar,Veigar,Jhin,Blitzcrank,Darius,Twitch,Pyke,Lucian,Soraka
172,0,Volibear,Warwick,Heimerdinger,Caitlyn,Ashe,Teemo,LeeSin,Yasuo,Kaisa,Pantheon
173,0,Teemo,XinZhao,Galio,Kaisa,Senna,Kayle,MonkeyKing,Vex,Lucian,Nami
174,0,Kennen,Talon,Yasuo,Vayne,Ashe,Tryndamere,Rengar,Veigar,Kaisa,Pyke
175,0,Teemo,LeeSin,Ziggs,Tristana,FiddleSticks,Malzahar,Vi,Sylas,Jhin,Senna
176,0,Olaf,Diana,Yasuo,Tristana,Senna,Sett,Graves,Akali,Jhin,Xerath
177,0,Nasus,Rengar,Neeko,Tristana,Twitch,Vladimir,Nocturne,Akali,Ezreal,Janna
178,0,Renekton,Diana,Cassiopeia,Aphelios,Senna,Camille,Shyvana,Kayle,Jinx,Brand
179,0,Trundle,FiddleSticks,Lucian,Vayne,Senna,Renekton,Nocturne,Samira,Syndra,MissFortune
180,1,Lucian,MasterYi,Galio,Irelia,MissFortune,Swain,Tryndamere,Vladimir,Samira,Bard
181,1,Graves,MonkeyKing,Akali,Vayne,Nami,Malphite,Kayn,Katarina,Ezreal,Leona
182,1,Garen,Nocturne,Veigar,Ashe,Pyke,Trundle,LeeSin,Akali,Caitlyn,Lux
183,1,Riven,Graves,Irelia,Vayne,Lux,Gangplank,Warwick,Cassiopeia,Caitlyn,Janna
184,0,Cassiopeia,MasterYi,Taliyah,Ashe,Zilean,Darius,Graves,Kassadin,Caitlyn,Blitzcrank
185,1,Sion,Rumble,Vladimir,Jhin,Pyke,Pantheon,JarvanIV,Fizz,Caitlyn,FiddleSticks
186,1,Teemo,Amumu,Zed,Heimerdinger,Malphite,Jax,Diana,Yasuo,Kaisa,Blitzcrank
187,0,Karthus,Vi,Taliyah,Kaisa,Pyke,Sion,Kindred,Ryze,Jhin,Thresh
188,0,Riven,Kindred,Fizz,Kaisa,Pyke,Malphite,MasterYi,AurelionSol,Ashe,Lux
189,1,Jax,Warwick,Malzahar,Kaisa,Leona,Darius,XinZhao,Neeko,Jhin,Swain
190,0,Pantheon,Talon,Yone,Twitch,Blitzcrank,Yasuo,Diana,Qiyana,Jhin,Nautilus
191,1,Gangplank,Talon,Swain,Jhin,Zyra,Garen,Lillia,Riven,Draven,Senna
192,0,Riven,Nocturne,Yone,Ezreal,Senna,Irelia,Khazix,Leblanc,Lucian,Nautilus
193,0,Nidalee,Hecarim,Akali,Jinx,Yuumi,Jax,FiddleSticks,Katarina,MissFortune,Pyke
194,1,Nasus,LeeSin,Akshan,Sivir,Lux,Kayle,Kindred,Veigar,Draven,Rakan
195,0,Mordekaiser,MonkeyKing,MasterYi,Xayah,Lulu,Jax,Zac,Orianna,Lucian,Blitzcrank
196,0,Renekton,Taliyah,Annie,Jhin,JarvanIV,Mordekaiser,Nocturne,Zed,Senna,Swain
197,0,Darius,Warwick,Renekton,Jhin,Lux,Ziggs,Viego,Akali,Lucian,Yuumi
198,0,Teemo,Sejuani,Vladimir,Ezreal,Nautilus,Neeko,Vi,Kaisa,Aphelios,Lux
199,0,Sion,Twitch,Lux,Caitlyn,Sona,Olaf,Kayn,Viktor,Tristana,Zyra
200,0,Irelia,Volibear,LeeSin,Veigar,Anivia,Yone,Rengar,Viktor,Kaisa,Senna
201,0,Jayce,Diana,Akali,Jinx,Pantheon,Yorick,Shyvana,Sylas,Lucian,Nautilus
202,0,Jax,Volibear,Annie,Vayne,Morgana,Sett,Amumu,Pantheon,Aphelios,Yuumi
203,0,Kennen,Zac,Zed,Kaisa,Xerath,Draven,Kayn,Ekko,Jax,Senna
204,0,Garen,Shyvana,Caitlyn,Aphelios,Ashe,Teemo,Evelynn,Talon,Ezreal,Brand
205,1,Gangplank,Leona,Ekko,Jinx,Senna,Aatrox,Diana,Yone,Jhin,Nami
206,1,Garen,Nocturne,Viktor,MissFortune,Nautilus,Mordekaiser,Udyr,Yone,Kaisa,Janna
207,0,Akali,Kindred,Ahri,Twitch,Pyke,Sion,Nocturne,Orianna,Xayah,Senna
208,0,Sion,MasterYi,Cassiopeia,Jhin,Morgana,Kennen,Kayn,Annie,MissFortune,Lulu
209,0,Illaoi,Shaco,Kayle,Samira,Kled,Darius,Volibear,Veigar,Lucian,Yuumi
210,0,Sion,Warwick,Taliyah,Volibear,Morgana,Olaf,Talon,Vex,Jinx,Pyke
211,1,Sett,Talon,Galio,Twitch,Lulu,Darius,Kindred,Fizz,Lucian,Nami
212,0,Darius,MasterYi,Sylas,Draven,Pyke,Kayle,Volibear,Fizz,Lucian,Nami
213,0,Shen,LeeSin,Yasuo,Ziggs,Zyra,Jayce,Taliyah,Kayle,Zeri,Brand
214,0,Darius,Qiyana,Sylas,Lucian,Nami,Nasus,Nocturne,Fizz,Jinx,Blitzcrank
215,0,Viego,Diana,Fizz,Jinx,Lillia,Pantheon,Chogath,Ahri,Caitlyn,Xerath
216,1,DrMundo,Nunu,Yone,Jhin,Brand,Teemo,Kayn,Vladimir,Caitlyn,Renata
217,0,Fiora,Lillia,Irelia,Vayne,Amumu,Yasuo,MonkeyKing,Neeko,Xayah,Trundle
218,1,Yone,MasterYi,Zed,Jhin,Xerath,Nasus,Ekko,Tristana,MissFortune,Zyra
219,0,Ornn,MasterYi,Ziggs,Ashe,Sett,Volibear,Ekko,Lillia,Ezreal,Taric
220,0,Jax,Graves,Viktor,Kaisa,Soraka,Tryndamere,Kayn,Veigar,Caitlyn,Thresh
221,0,Darius,Nocturne,Neeko,Tristana,Blitzcrank,Teemo,JarvanIV,Viktor,Yasuo,Braum
222,0,Gnar,Vi,Yone,Caitlyn,Zyra,Garen,Olaf,Annie,Varus,Karma
223,1,Renekton,Diana,Kaisa,Ashe,Karma,Shen,Talon,Lux,MissFortune,Malphite
224,1,Nasus,Vi,Annie,Ezreal,Leona,Shen,Jax,Katarina,Nautilus,Kalista
225,0,Nocturne,Kayle,Zoe,Vayne,Thresh,Mordekaiser,Rengar,Ahri,Ashe,MissFortune
226,1,Fiora,Nidalee,Yasuo,MissFortune,Rell,Illaoi,Trundle,Fizz,Yone,Senna
227,1,Malphite,Sejuani,Yasuo,Vayne,Nami,Skarner,Diana,Zoe,Lucian,LeeSin
228,0,Riven,Zac,Annie,Tristana,Nautilus,Shen,Shyvana,Gangplank,Draven,Xerath
229,1,Kayle,Kindred,Veigar,Tristana,Janna,Jax,LeeSin,Nunu,Lucian,Nami
230,1,Aatrox,Nocturne,Vladimir,Samira,Senna,Teemo,Rammus,Ahri,Caitlyn,Pyke
231,1,Mordekaiser,LeeSin,Morgana,Lucian,Pyke,Teemo,Kayn,Ashe,Sivir,Nautilus
232,0,Darius,Amumu,Karthus,Ezreal,Brand,Renekton,Volibear,Taliyah,Kaisa,Senna
233,0,Jax,Ivern,TwistedFate,Tristana,Lulu,Singed,Shyvana,Brand,MissFortune,Pyke
234,0,Illaoi,Shaco,Zed,Caitlyn,Renata,Sion,MonkeyKing,Yasuo,Sivir,Senna
235,0,Kayle,Lillia,Lucian,Yasuo,Janna,Teemo,Vi,Irelia,Tristana,Karma
236,0,Gangplank,Shyvana,Vex,Jinx,Nautilus,Irelia,Zac,Seraphine,Ezreal,Senna
237,1,Illaoi,MasterYi,Vladimir,MissFortune,Morgana,Cassiopeia,Nocturne,Zed,Yasuo,Teemo
238,1,Lillia,Ekko,Brand,Yasuo,Zyra,Darius,Kindred,Vladimir,Ashe,Janna
239,0,Jax,Talon,Taliyah,Vayne,Morgana,Darius,FiddleSticks,Zoe,Jinx,Leona
240,1,Urgot,Kayn,Sylas,Vayne,MissFortune,Sion,JarvanIV,Veigar,Samira,Xerath
241,1,Irelia,Nocturne,Draven,MissFortune,Lux,Aatrox,LeeSin,Veigar,Samira,Blitzcrank
242,0,Vayne,Warwick,Neeko,Tristana,Nautilus,Swain,MasterYi,Akshan,Kaisa,Renata
243,0,Teemo,Kindred,Yasuo,Kalista,Pantheon,Sylas,Shaco,Lucian,Aphelios,Blitzcrank
244,1,Mordekaiser,Amumu,Irelia,MissFortune,Lux,Kennen,Kindred,Zilean,Tristana,Seraphine
245,0,Nasus,Amumu,Orianna,Twitch,Pyke,Gangplank,Khazix,Akali,Kaisa,Senna
246,0,Graves,Khazix,Orianna,Lucian,Ashe,Garen,Viego,Ahri,Kaisa,Xerath
247,1,Morgana,Shaco,Zed,Ashe,Bard,Shen,Nocturne,Leblanc,Jhin,Velkoz
248,1,Kayle,MonkeyKing,Akali,Tristana,Neeko,Chogath,MasterYi,Akshan,KogMaw,Leona
249,1,Vayne,Rengar,Yone,Swain,Lux,Mordekaiser,Vi,Qiyana,Jhin,Morgana
250,0,Sion,Volibear,Yasuo,Kaisa,Nami,Kled,Pantheon,Ahri,Ziggs,Garen
251,0,Mordekaiser,Vi,Viktor,Lucian,Galio,Illaoi,Olaf,Annie,Jhin,Swain
