,player_team,win,one1,one2,one3,one4,one5,two1,two2,two3,two4,two5
46,1,1,Gnar,Nocturne,Taliyah,Zeri,TwistedFate,Darius,MasterYi,Yasuo,Senna,Veigar
47,1,0,Kayle,Talon,Olaf,Zeri,TwistedFate,Renekton,MonkeyKing,Ekko,Tristana,Leona
48,0,0,Samira,Graves,Azir,DrMundo,Yuumi,Renekton,Nidalee,Taliyah,Zeri,Blitzcrank
49,1,0,Galio,XinZhao,Akshan,MissFortune,Senna,Nasus,Viego,Ahri,Varus,Morgana
50,0,0,Aatrox,Diana,Akali,Aphelios,Ashe,Tryndamere,Zac,Akshan,Swain,Leona
51,0,0,Kayle,Hecarim,Annie,Jhin,Bard,Irelia,MasterYi,Teemo,Vayne,Karma
52,0,0,Irelia,LeeSin,Viktor,Ashe,Pyke,Aatrox,Khazix,Ahri,Kaisa,Zyra
53,0,0,Mordekaiser,Nidalee,Akshan,Jhin,Veigar,Volibear,Kayn,Viktor,Caitlyn,Senna
54,1,1,Ahri,Nunu,Azir,Jhin,Nami,Rumble,Diana,Akshan,Caitlyn,Swain
55,1,1,Mordekaiser,Diana,Zed,Caitlyn,Zyra,Garen,Ekko,Ahri,Kaisa,Nami
56,1,0,Sett,Diana,Zoe,MissFortune,Leona,Illaoi,Amumu,Seraphine,Jhin,Ashe
57,0,1,Riven,Nidalee,Anivia,Samira,Seraphine,Darius,LeeSin,Ahri,Jhin,Soraka
58,0,0,Urgot,Rammus,Tristana,Kaisa,Morgana,Karma,Shaco,Sylas,Ashe,Twitch
59,0,0,Yorick,XinZhao,Akali,Vayne,Xerath,Irelia,Mordekaiser,Ahri,MissFortune,Rell
60,0,0,Chogath,Graves,Velkoz,Jhin,Irelia,Warwick,Diana,TahmKench,MissFortune,Lux
61,0,0,Singed,Gwen,Veigar,Jinx,Karma,Sion,Warwick,Ahri,Kaisa,Ashe
62,0,0,Sion,Nocturne,Yasuo,Tristana,Taric,Kalista,Elise,Kayle,Jinx,Lux
63,0,0,Mordekaiser,Hecarim,Leblanc,Vayne,Morgana,Garen,Rengar,Viktor,Ezreal,Seraphine
64,0,0,Nasus,Kayn,Viktor,Samira,Soraka,Shen,Zed,Ahri,MissFortune,Lux
65,0,1,Illaoi,XinZhao,Veigar,Varus,Lux,Chogath,Lillia,Viktor,Aphelios,Leona
66,0,0,Sion,Khazix,Qiyana,Veigar,MissFortune,Lillia,Mordekaiser,Katarina,Tristana,Alistar
67,1,1,Sett,Zac,Katarina,Aphelios,Nautilus,Kennen,LeeSin,Zed,Jinx,Nami
68,0,1,Gnar,Zac,Cassiopeia,Zeri,Thresh,Mordekaiser,JarvanIV,Katarina,Tristana,Blitzcrank
69,1,1,Aatrox,Teemo,Sylas,Jinx,Nautilus,Lillia,LeeSin,Malzahar,Ashe,Bard
70,1,1,Garen,MonkeyKing,Sylas,Tristana,Pyke,Warwick,Shyvana,Ahri,Jhin,Leona
71,0,1,Teemo,MasterYi,Yone,MissFortune,Malphite,Yorick,JarvanIV,Zed,Tristana,Sona
72,0,1,Illaoi,Udyr,Malzahar,Jinx,Karma,Urgot,Malphite,Yasuo,MissFortune,Lux
73,1,1,Teemo,Zed,Sylas,Ezreal,Brand,Nasus,MonkeyKing,TwistedFate,Tristana,Sona
74,1,1,Akali,JarvanIV,Ahri,Kaisa,Pyke,Urgot,Rengar,Sylas,Lucian,Taric
75,1,1,Kennen,JarvanIV,Vex,Ezreal,Lux,Darius,Amumu,Yone,Jinx,Pyke
76,1,0,Jayce,MasterYi,Ahri,Lucian,Renata,Irelia,Vi,Fizz,Jhin,Leona
77,0,1,Yone,MasterYi,Yasuo,Ezreal,Soraka,Ornn,LeeSin,Kindred,Caitlyn,Blitzcrank
78,1,1,Yorick,MonkeyKing,Viktor,Ezreal,Zilean,Poppy,Diana,Gangplank,Samira,Xerath
79,1,1,Kalista,MonkeyKing,Viktor,Kaisa,Soraka,Ornn,Volibear,Ahri,Caitlyn,Seraphine
80,1,1,TahmKench,Ekko,Yasuo,Twitch,Zyra,Aatrox,Mordekaiser,Velkoz,Jinx,Thresh
81,1,1,Fiora,Shyvana,Ahri,Jinx,Zilean,Illaoi,Nunu,Ashe,Ezreal,Senna
82,1,1,Garen,JarvanIV,Viktor,Samira,Nautilus,Nasus,MonkeyKing,Neeko,Zeri,Lux
83,0,0,Tryndamere,MasterYi,Xerath,Sivir,Blitzcrank,Mordekaiser,LeeSin,Viktor,Samira,Yuumi
84,0,0,Morgana,Lillia,Senna,MissFortune,Pyke,Veigar,JarvanIV,Yone,Jinx,Soraka
85,1,1,Gnar,Ekko,Viktor,Samira,Soraka,Trundle,Diana,Kayle,Twitch,Nautilus
86,0,0,Graves,Ekko,Irelia,MissFortune,Nautilus,Darius,Shaco,Akali,Draven,Lux
87,0,0,TahmKench,Graves,Vex,Samira,Brand,Viktor,Amumu,Ahri,MissFortune,Nautilus
88,1,1,Vayne,Nunu,Ahri,Rakan,MissFortune,Mordekaiser,XinZhao,Yasuo,Lucian,Yorick
89,0,0,Kayle,Amumu,Viktor,Lucian,Lux,Darius,Lillia,Qiyana,MissFortune,Morgana
90,0,1,Darius,FiddleSticks,Corki,Lucian,Lux,Fiora,Taliyah,Gragas,Vayne,Morgana
91,0,0,Yasuo,Rumble,Annie,Caitlyn,Brand,Malphite,Zed,Pantheon,Draven,Karma
92,1,0,Illaoi,Vi,Katarina,Kaisa,Lux,Shen,Viego,Velkoz,Ezreal,Xerath
93,1,1,Kayle,Udyr,Swain,Ezreal,Lux,Garen,Warwick,Yone,Vayne,Twitch
94,1,1,Trundle,Graves,Zoe,Lucian,Nautilus,Teemo,Nocturne,Vi,Twitch,Xerath
95,0,1,Renekton,Hecarim,Vi,Ashe,LeeSin,Ornn,Talon,Zoe,Vayne,Veigar
96,0,1,Fiora,Kindred,Pantheon,Xayah,Lux,Ornn,Talon,Vex,Samira,Sona
97,1,0,Trundle,Volibear,Cassiopeia,Lucian,Senna,Kayle,Viego,Fizz,Jinx,Yuumi
98,0,1,Trundle,Kayn,Talon,Kaisa,Morgana,TahmKench,Nocturne,Katarina,Xayah,Lux
99,1,1,DrMundo,Diana,Kayle,Jhin,Morgana,Urgot,XinZhao,Irelia,Jinx,Braum
